timestamp,open,high,low,close,volume
2024-04-12 00:00:00,70020.71,70505.92,69798.05,70081.86,94.0
2024-04-12 04:00:00,70081.86,70329.1,69236.66,69429.27,251.0
2024-04-12 08:00:00,69429.27,69559.39,68653.52,68814.07,199.0
2024-04-12 12:00:00,68814.07,69029.04,68038.92,68364.24,90.0
2024-04-12 16:00:00,68364.24,68759.19,67423.04,67611.24,355.2856412730031
2024-04-12 20:00:00,67611.24,67764.47,66595.14,66974.74,98.0
2024-04-13 00:00:00,67148.62,67603.57,66781.34,67049.18,190.0
2024-04-13 04:00:00,67049.18,67379.0,66318.4,66475.56,238.0
2024-04-13 08:00:00,66475.56,66744.95,65256.3,65933.66,270.0
2024-04-13 12:00:00,65933.66,66811.76,64284.06,64949.87,595.6218239005173
2024-04-13 16:00:00,64949.87,65216.77,64117.47,64630.39,151.0
2024-04-13 20:00:00,64630.39,64970.18,63790.97,63974.92,351.57045399704805
2024-04-14 00:00:00,64021.36,64151.71,63852.69,63970.71,257.0
2024-04-14 04:00:00,63970.71,64534.5,63773.31,64418.26,83.0
2024-04-14 08:00:00,64418.26,64822.44,64298.1,64748.42,142.0
2024-04-14 12:00:00,64748.42,65415.72,64411.56,65147.76,732.2180236916008
2024-04-14 16:00:00,65147.76,65706.13,64835.26,65452.97,190.0
2024-04-14 20:00:00,65452.97,65890.91,65370.61,65728.78,81.0
2024-04-15 00:00:00,65764.56,65962.39,65484.82,65772.59,121.0
2024-04-15 04:00:00,65772.59,66047.01,65132.83,65274.49,72.0
2024-04-15 08:00:00,65274.49,65726.25,64382.39,64765.0,297.0
2024-04-15 12:00:00,64765.0,64952.63,63888.42,64330.83,203.0
2024-04-15 16:00:00,64330.83,64484.07,63617.87,63849.87,294.0
2024-04-15 20:00:00,63849.87,63968.33,63316.59,63421.95,113.0
2024-04-16 00:00:00,63452.18,63608.77,63230.06,63433.3,249.0
2024-04-16 04:00:00,63433.3,63666.84,63248.32,63480.53,121.0
2024-04-16 08:00:00,63480.53,63539.59,63358.21,63491.56,192.0
2024-04-16 12:00:00,63491.56,63724.16,63378.38,63668.38,118.0
2024-04-16 16:00:00,63668.38,63881.77,63421.46,63740.48,266.0
2024-04-16 20:00:00,63740.48,63879.98,63654.99,63750.55,229.0
2024-04-17 00:00:00,63814.94,64073.98,63701.98,63872.17,103.0
2024-04-17 04:00:00,63872.17,64018.38,63361.5,63521.43,55.0
2024-04-17 08:00:00,63521.43,63691.52,62306.34,62649.49,260.45672511272244
2024-04-17 12:00:00,62649.49,62847.4,62016.82,62300.28,82.0
2024-04-17 16:00:00,62300.28,62642.68,61533.25,61865.81,119.0
2024-04-17 20:00:00,61865.81,62079.32,60945.26,61159.33,283.69132817367534
2024-04-18 00:00:00,61275.73,61582.91,60887.09,61191.77,271.0
2024-04-18 04:00:00,61191.77,61730.81,61076.66,61633.72,305.0
2024-04-18 08:00:00,61633.72,62241.69,61543.0,62190.87,246.0
2024-04-18 12:00:00,62190.87,62700.92,61945.61,62570.11,117.0
2024-04-18 16:00:00,62570.11,63421.71,62338.13,63144.87,763.2778974856556
2024-04-18 20:00:00,63144.87,63542.9,63072.51,63458.14,119.0
2024-04-19 00:00:00,63514.84,63992.18,62947.35,63505.7,192.0
2024-04-19 04:00:00,63505.7,63938.18,63303.32,63621.98,255.0
2024-04-19 08:00:00,63621.98,64281.24,62882.08,63521.34,155.0
2024-04-19 12:00:00,63521.34,64003.35,63381.78,63772.14,324.0
2024-04-19 16:00:00,63772.14,64084.51,63439.76,63681.31,208.0
2024-04-19 20:00:00,63681.31,64206.91,63207.56,63668.84,78.0
2024-04-20 00:00:00,63841.96,64052.57,63642.54,63844.69,249.0
2024-04-20 04:00:00,63844.69,64089.52,63706.68,64013.81,280.0
2024-04-20 08:00:00,64013.81,64496.23,63824.94,64316.85,275.0
2024-04-20 12:00:00,64316.85,64829.68,64178.38,64698.56,77.0
2024-04-20 16:00:00,64698.56,64839.61,64614.46,64720.75,217.0
2024-04-20 20:00:00,64720.75,65000.34,64634.59,64972.7,152.0
2024-04-21 00:00:00,64960.82,65024.47,64853.29,64962.72,74.0
2024-04-21 04:00:00,64962.72,65004.96,64884.74,64927.43,231.0
2024-04-21 08:00:00,64927.43,64996.72,64809.31,64897.89,72.0
2024-04-21 12:00:00,64897.89,65021.87,64843.49,64961.58,247.0
2024-04-21 16:00:00,64961.58,64995.5,64867.77,64919.07,252.0
2024-04-21 20:00:00,64919.07,65006.05,64786.73,64943.05,259.0
2024-04-22 00:00:00,64952.92,65158.01,64848.23,65069.75,265.0
2024-04-22 04:00:00,65069.75,65429.19,65037.53,65391.01,62.0
2024-04-22 08:00:00,65391.01,65809.23,65258.28,65739.85,184.0
2024-04-22 12:00:00,65739.85,66224.62,65658.48,66139.32,224.0
2024-04-22 16:00:00,66139.32,66592.25,66018.49,66453.69,293.0
2024-04-22 20:00:00,66453.69,66961.34,66376.4,66866.37,232.0
2024-04-23 00:00:00,66856.07,66968.13,66768.66,66858.03,232.0
2024-04-23 04:00:00,66858.03,66928.88,66654.12,66756.88,159.0
2024-04-23 08:00:00,66756.88,66788.23,66630.57,66687.19,57.0
2024-04-23 12:00:00,66687.19,66755.21,66523.54,66573.46,247.0
2024-04-23 16:00:00,66573.46,66691.57,66463.83,66527.77,100.0
2024-04-23 20:00:00,66527.77,66647.71,66283.51,66422.78,167.0
2024-04-24 00:00:00,66418.0,66733.8,66205.45,66508.34,172.0
2024-04-24 04:00:00,66508.34,66797.0,65827.92,65943.73,306.0
2024-04-24 08:00:00,65943.73,66157.49,65519.73,65645.42,53.0
2024-04-24 12:00:00,65645.42,65772.01,64927.59,65122.15,319.0
2024-04-24 16:00:00,65122.15,65309.85,64544.66,64695.08,143.0
